# Residual inventory — deep-research window host · 2026-07-09
# origin/main @ b3875724 | PR #465 campaign/research-reading-spine-2026-07-09-main @ 16a924fa
# Living-roadmap SPR-01..14: ALREADY SHIPPED on main — NOT rebuild TODOs.

CAPABILITY | STATUS | EVIDENCE
(a) research↔reading engagement spine | branch_only | substrate/engagement_spine/**; tests/test_engagement_spine.py; PR #465
(b) HTML-first human view | on_main + branch_only | services/html_projection/**; project_session_html / view_format html on branch
(c) model driver/budget/projection/add-model residual | on_main + branch_only | #440 settings_budget.py; substrate/model_registration/**
(d) Midnight oil autonomous swarm | branch_only | substrate/midnight_oil/**; tests/test_midnight_oil.py
(e) book marketplace + host-into-account | branch_only | substrate/marketplace_host/**; tests/test_marketplace_host.py
(f) Antiek-bench core | branch_only | substrate/antiek_bench/**
(g) NotDiamond usefulness | branch_only | docs/htmlspec/notdiamond-verdict/VERDICT.md — advisory GO / authority REJECT
(h) settings-facing Antiek-bench leaderboard | branch_only | leaderboard.py; GET /settings/antiek-bench/leaderboard
(i) highlight→floating deep-research session substrate | branch_only | substrate/floating_session/** @ fa709b3e+
(j) decision-tree → real dispatch override | branch_only | dispatch_bridge + research_bridge/llm_dispatch @ 5abf769f
(k) session↔window composition descriptors | branch_only | window_compose.py; deepResearchWindow.ts @ 16a924fa
(l) deep-research session window host (WINDOW_PAGES) | branch_only (this cycle) | apps/reading DeepResearchSessionHost.tsx + WINDOW_PAGES.deep_research_session; DeepResearchSessionHost.test.tsx; deepResearchWindow openWindow path

CHOSEN_THIS_CYCLE: (l)
