# Residual inventory — decision-tree dispatch override · 2026-07-09
# origin/main @ b3875724 | branch of record: campaign/research-reading-spine-2026-07-09-main (PR #465)
# Living-roadmap SPR-01..14: ALREADY SHIPPED on main — NOT rebuild TODOs.

CAPABILITY | STATUS | EVIDENCE
(a) research↔reading engagement spine | branch_only | substrate/engagement_spine/** (spawn/twin/merge/project); tests/test_engagement_spine.py; PR #465
(b) HTML-first human view | on_main + branch_only | services/html_projection/** on origin/main; engagement_spine.project_to_html + floating/marketplace/bench projection on branch
(c) model driver/budget/projection/add-model residual | on_main + branch_only | #440 settings_budget.py (inventory/budget/projection) on main; substrate/model_registration/** (add_model, select_driver, dispatch_bridge) on branch
(d) Midnight oil autonomous swarm | branch_only | substrate/midnight_oil/**; tests/test_midnight_oil.py; docs/htmlspec/midnight-oil/
(e) book marketplace + host-into-account | branch_only | substrate/marketplace_host/**; tests/test_marketplace_host.py; docs/htmlspec/marketplace-host/
(f) Antiek-bench core | branch_only | substrate/antiek_bench/{suite,run,rewrite,summary}.py; tests/test_antiek_bench.py
(g) NotDiamond usefulness | branch_only | docs/htmlspec/notdiamond-verdict/VERDICT.md — advisory GO / authority REJECT under §16
(h) settings-facing Antiek-bench leaderboard | branch_only | substrate/antiek_bench/leaderboard.py + settings_surface.py; GET /settings/antiek-bench/leaderboard; tests/test_antiek_bench_leaderboard.py
(i) highlight→floating deep-research session | branch_only | substrate/floating_session/**; tests/test_floating_session.py @ fa709b3e+
(j) decision-tree selected model → real dispatch model_override | branch_only (this cycle) | substrate/model_registration/dispatch_bridge.py + process_registry.py; PRODUCTION wire: substrate/research_bridge/llm_dispatch.py build_dispatch_llm_callable applies apply_decision_tree_overrides → dispatch(...); tests/test_decision_tree_dispatch.py (research_bridge path)

CHOSEN_THIS_CYCLE: (j)
