# Residual inventory — highlight→deep-research window product path · 2026-07-09
# origin/main @ b3875724 | PR #465 campaign/research-reading-spine-2026-07-09-main @ 4a243a7e+
# Living-roadmap SPR-01..14: ALREADY SHIPPED on main — NOT rebuild TODOs.

CAPABILITY | STATUS | EVIDENCE
(a) research↔reading engagement spine | branch_only | substrate/engagement_spine/**; tests/test_engagement_spine.py; PR #465
(b) HTML-first human view | on_main + branch_only | services/html_projection/**; project_session_html; view_format html
(c) model driver/budget/projection/add-model residual | on_main + branch_only | #440 settings_budget.py; substrate/model_registration/**
(d) Midnight oil autonomous swarm | branch_only | substrate/midnight_oil/**
(e) book marketplace + host-into-account | branch_only | substrate/marketplace_host/**
(f) Antiek-bench core | branch_only | substrate/antiek_bench/**
(g) NotDiamond usefulness | branch_only | docs/htmlspec/notdiamond-verdict/VERDICT.md — advisory GO / authority REJECT
(h) settings-facing Antiek-bench leaderboard | branch_only | leaderboard.py; GET /settings/antiek-bench/leaderboard
(i) highlight→floating deep-research session substrate | branch_only | substrate/floating_session/**
(j) decision-tree → real dispatch override | branch_only | dispatch_bridge + research_bridge/llm_dispatch
(k) session↔window composition | branch_only | window_compose.py; deepResearchWindow.ts
(l) deep-research window host (WINDOW_PAGES) | branch_only | DeepResearchSessionHost + WINDOW_PAGES
(m) Settings decision-tree install | branch_only | install.py; GET/POST/DELETE /settings/decision-tree @ 4a243a7e
(n) highlight → deep-research session window product path | branch_only (this cycle) | open_deep_research_from_highlight; openDeepResearchFromHighlight

CHOSEN_THIS_CYCLE: (n)
