# Residual inventory — session↔window composition · 2026-07-09
# origin/main @ b3875724 | PR #465 campaign/research-reading-spine-2026-07-09-main @ 5abf769f
# Living-roadmap SPR-01..14: ALREADY SHIPPED on main — NOT rebuild TODOs.

CAPABILITY | STATUS | EVIDENCE
(a) research↔reading engagement spine | branch_only | substrate/engagement_spine/**; tests/test_engagement_spine.py; PR #465
(b) HTML-first human view | on_main + branch_only | services/html_projection/** on main; project_session_html / project_to_html on branch
(c) model driver/budget/projection/add-model residual | on_main + branch_only | #440 settings_budget.py; substrate/model_registration/** (add_model, select_driver, dispatch_bridge)
(d) Midnight oil autonomous swarm | branch_only | substrate/midnight_oil/**; tests/test_midnight_oil.py
(e) book marketplace + host-into-account | branch_only | substrate/marketplace_host/**; tests/test_marketplace_host.py
(f) Antiek-bench core | branch_only | substrate/antiek_bench/{suite,run,rewrite,summary}.py
(g) NotDiamond usefulness | branch_only | docs/htmlspec/notdiamond-verdict/VERDICT.md — advisory GO / authority REJECT
(h) settings-facing Antiek-bench leaderboard | branch_only | substrate/antiek_bench/leaderboard.py; GET /settings/antiek-bench/leaderboard
(i) highlight→floating deep-research session substrate | branch_only | substrate/floating_session/** @ fa709b3e+
(j) decision-tree → real dispatch override | branch_only | dispatch_bridge + research_bridge/llm_dispatch wire @ 5abf769f
(k) deep-research session ↔ workspace window composition | branch_only (this cycle) | substrate/floating_session/window_compose.py; apps/reading/src/workspace/deepResearchWindow.ts; tests/test_session_window_compose.py

CHOSEN_THIS_CYCLE: (k)
