# Antiek OBJECTIVE residual inventory — residual (am) suite approve/promote Settings control
# Date: 2026-07-09
# origin/main: b3875724c6223a7cc66a05c5b6d2bba8e5d69b1d
# branch of record: campaign/research-reading-spine-2026-07-09-main @ a20a7efb52e1ae696be7d027d63cefcb3258371f (short a20a7efb)
# PR: https://github.com/Slimydog21/Antiek/pull/465
# Status values: on_main | branch_only | missing | spec_only

CAPABILITY | STATUS | EVIDENCE
(a) research↔reading engagement spine | branch_only | substrate/engagement_spine/**; PR #465
(b) HTML-first human view of info assets | on_main | services/html_projection/**; data-view-format=html
(c) model driver + budget bar + prompt cost projection + add-model | branch_only | settings_budget + model_registration on PR #465
(d) Midnight oil substrate | branch_only | substrate/midnight_oil/**
(e) book marketplace host package | branch_only | substrate/marketplace_host/**
(f) Antiek-bench core suite/run/rewrite | branch_only | substrate/antiek_bench/**
(g) NotDiamond router usefulness verdict | branch_only | docs/htmlspec/notdiamond-verdict/VERDICT.md
(h) settings-facing Antiek-bench leaderboard | branch_only | leaderboard + settings_surface
(i) highlight→floating deep-research session substrate | branch_only | floating_session/session.py
(j) decision-tree → real dispatch override | branch_only | model_registration/dispatch_bridge.py
(k) session↔window composition | branch_only | floating_session/window_compose.py
(l) deep-research window host WINDOW_PAGES | branch_only | DeepResearchSessionHost
(m) Settings decision-tree install | branch_only | model_registration/install.py
(n) highlight → deep-research session window product path | branch_only | floating_session/product_path.py
(o) twin-note promote | branch_only | engagement_spine/twin_promote.py
(p) arxiv/substack reference attach | branch_only | engagement_spine/source_refs.py
(q) research context pack | branch_only | engagement_spine/research_context.py
(r) multi-spawn collective deep-research merge | branch_only | engagement_spine/collective.py
(s) floating session context bridge | branch_only | floating_session/context_bridge.py
(t) complete_session twin deposit | branch_only | floating_session/session.py
(u) complete→twin→promote→context flywheel | branch_only | floating_session/flywheel.py
(v) TS researchContextPack handoff | branch_only | workspace/researchContextPack.ts
(w) /engagement/* REST API | branch_only | engagement_routes.py
(x) TS engagement API client | branch_only | api/engagement.ts
(y) ResearchContextPanel UI | branch_only | ResearchContextPanel.tsx
(z) durable engagement stores | branch_only | ANTIEK_ENGAGEMENT_DIR
(aa) CollectiveResearchPanel multi-select UI | branch_only | CollectiveResearchPanel.tsx
(ab) Antiek-bench usage bridge | branch_only | usage_bridge.py
(ac) flywheel API records usage events | branch_only | complete-flywheel → record_session_flywheel_usage
(ad) Midnight Oil product path | branch_only | midnight_oil/product_path.py
(ae) marketplace host-into-account product path | branch_only | marketplace_host/product_path.py
(af) app-shell product registration Midnight Oil + Marketplace | branch_only | productModeRoutes.ts
(ag) ResearchContextPanel product mount | branch_only | DeepResearchSessionHost
(ah) CollectiveResearchPanel product mount | branch_only | DeepResearchSessionHost
(ai) Settings weekly Antiek-bench usage summary | branch_only | usage-summary route
(aj) durable Antiek-bench usage store | branch_only | ANTIEK_BENCH_USAGE_DIR
(ak) Settings NotDiamond advisory display | branch_only | notdiamond_advisory
(al) Settings suite-proposal visibility | branch_only | suite-proposal GET; @ 0f286e35
(am) Settings suite approve/promote control | branch_only | POST suite-proposal/approve; settings_approve_suite_proposal_payload; Settings Approve & promote + Reject; tests/test_settings_suite_approve.py; @ a20a7efb

ALREADY_SHIPPED_DO_NOT_REBUILD:
- living-roadmap SPR-01..14; propose_suite_delta/approve_and_promote core (composed only); usage_bridge; al GET propose path

THIS_CYCLE_RESIDUAL: (am) suite approve/promote Settings control — complete @ a20a7efb
NEXT_RESIDUAL: (an) competitive deep-research notes→spec OR twin/recursive note-taker product polish; operator merge PR #465
